,vitaminA,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,vitaminB6,vitaminB12,vitaminC,nicotinic_acid,pantothenic,folic_acid,biotin,calcium,magnesium,iron,copper,selenium,iodine,manganese,molybdenum,chrome,product
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(구)동아비타민C순(純)
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,200.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,(구)본포뮬러젤리
15,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(구)츄어블오메가-3
16,350.0,5.0,4.6,0.0,0.0,2.0,6.0,0.0,60.0,18.0,0.0,200.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,(구)트리플러스
17,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(구)프로메가 레볼루션
18,0.0,0.0,0.0,0.0,1.0,2.0,6.0,12.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(전량수출용)비타500 데일리스틱
19,800.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,100.0,0.9,20.0,25.0,(전량수출용)비타민 홍삼 동충하초(Vitamin Red Ginseng Cordyceps)
20,750.0,0.0,40.3,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,40.0,0.0,1.0,0.0,0.0,(전량수출용)아이토닉플러스(Eye tonic plus)
21,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+면역업 영양구미
22,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,14.7,5.9,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+뷰티슬림24
23,700.0,5.0,16.5,0.0,1.0,2.0,6.0,12.0,100.0,4.5,1.5,480.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.9,0.0,17.5,+비타민미네랄
24,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+비타업 멀티구미
25,700.0,0.0,11.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+오메가3 A·E
26,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,+이너뷰티24h
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+착한비타민C
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+착한비타민C
29,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+청율비솔
30,0.0,20.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,600.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100% 식물성 프로틴 케어
31,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100세건강 365
32,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100세건강365나토키나제
33,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100억 생 유산균 프로바이오틱스
34,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100억 생 유산균 프리미엄
35,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100억 생유산균 + 면역플러스
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,100억 생유산균 프로바이오틱스 18
37,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,100억 소리나는 프로+프리바이오틱스
38,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100억 유산균
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,100억 유산균 보장 지셀라 프로바이오틱스
40,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100억 유산균 캡슐
41,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100억 유산균 프로바이오틱스
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,100억 프로바이오틱스
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,100억 핑크유산균
44,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100억 하루유산균
45,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100억콜유산균
46,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100억포스트바이오틱스
47,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,100억프로바이오틱스
48,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10억 생유산균 면역비타민D
49,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10억 생유산균 키즈
50,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,10억 생유산균 프로바이오틱스
51,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125건강 엠에스엠
52,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1436 품
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,19종 퍼스트바이오틱스
54,700.0,10.0,11.0,0.0,1.0,2.0,6.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.9,0.0,0.0,20100 루테인지아잔틴 듀얼(Dual)
55,0.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20100 초임계 식물성 알티지 오메가3
56,700.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20100 초임계 알티지 오메가3
57,0.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20100 초임계 알티지 오메가3 루테인지아잔틴 24
58,600.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,20100 파워루테인 플러스
59,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,20100 혈행건강엔 나토키나제
60,0.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211프로틴코어
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24시간 액티브티알 비타민C
62,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28탁
63,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28탁티(T)
64,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28탁티(T)+
65,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2주 비타 빼이드
66,400.0,5.0,14.0,0.0,1.0,2.0,6.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 DAYS IMMUNITY MULTI PACK (전량수출용)
67,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,100.08,15.03,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30일 에이드 클렌즈 30 DAYS AID 푸룬맛
68,0.0,15.0,0.0,0.0,1.0,2.0,6.0,0.0,200.0,0.0,10.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333프로젝트 슬림바디(스텝2)
69,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365 SAFE SUN SOLUTION
70,700.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365 눈 건강 루테인
71,350.0,4.0,3.3,27.0,1.0,2.0,6.0,12.0,36.0,17.0,8.0,250.0,12.0,0.0,0.0,0.0,0.9,17.6,76.5,1.3,0.0,0.0,365 멀티비타민
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,365 와이Y 케어 유산균
73,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365뉴트리션글루코사민
74,210.0,1.5,0.0,0.0,1.0,2.0,6.0,12.0,30.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,16.5,45.0,0.0,0.0,0.0,365뉴트리션멀티비타민앤미네랄
75,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365뉴트리션산호칼슘
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,365뉴트리션츄어블아이언
77,210.0,3.0,3.5,0.0,1.0,2.0,6.0,12.0,30.0,5.0,2.0,120.0,9.0,0.0,95.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,365멀티비타민(Multivitamin)
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365비타민바
79,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,33.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365슬림다이어트큐
80,0.0,20.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365올퀸
81,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365튼튼 홍삼젤리스틱
82,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365튼튼 홍삼젤리스틱
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,3바이오틱스 플러스(3BIOTICS +)
84,0.0,10.0,0.0,0.0,1.0,2.0,6.0,12.0,500.0,150.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0,55.0,0.0,3.0,0.0,0.0,3초 비타민
85,0.0,20.0,0.0,0.0,1.0,2.0,6.0,12.0,500.0,150.0,10.0,400.0,300.0,0.0,0.0,0.0,0.0,110.0,0.0,3.0,0.0,60.0,3초 비타민 레몬맛
86,0.0,20.0,0.0,0.0,1.0,2.0,6.0,12.0,500.0,150.0,10.0,400.0,300.0,0.0,0.0,0.0,0.0,110.0,0.0,3.0,0.0,60.0,3초 비타민 복숭아맛
87,0.0,20.0,0.0,0.0,1.0,2.0,6.0,12.0,500.0,150.0,10.0,400.0,300.0,0.0,0.0,0.0,0.0,110.0,0.0,3.0,0.0,60.0,3초 비타민 청포도맛
88,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3초습관 SOS 칼로리컷
89,700.0,40.0,11.0,70.0,1.0,2.0,6.0,12.0,150.0,30.0,15.0,1000.0,90.0,210.0,100.0,12.0,0.8,110.0,0.0,3.0,25.0,0.0,3초습관 플러스타민 종합영양제
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,4중케어 닥터 프로프리움 유산균
91,210.0,10.0,4.6,0.0,1.0,2.0,6.0,0.0,60.0,18.0,14.0,200.0,0.0,250.0,110.0,5.0,0.0,50.0,0.0,3.0,0.0,0.0,50+멀티비타민미네랄
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,50+징코+셀렌(50+Gingko+Se)
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,50억보장 장 건강해질 유산균
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5육七 관절 타이밍
95,700.0,10.0,11.0,70.0,1.0,2.0,6.0,12.0,100.0,15.0,5.0,400.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66데이즈멀티팩
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6년근홍삼 공운진
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7 Days Dr.Glutathione Collagen
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030칼슘분말(원료)
99,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030칼슘프리미엄
100,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.7,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030칼슘프리미엄
101,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.5,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030칼슘프리미엄츄어블
102,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030칼슘프리미엄츄어블
103,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.7,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030칼슘프리미엄플러스
104,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7데이즈엑스 관절연골건강
105,0.0,10.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,7일의 보스웰리아
106,0.0,10.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,7일의 약속 관절영웅
107,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030돌려다오
108,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030칼슘
109,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030칼슘골드클레스
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030칼슘분말(원료)
111,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030칼슘프리미엄
112,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030칼슘프리미엄
113,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030칼슘프리미엄츄어블
114,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030칼슘프리미엄츄어블
115,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030칼슘프리미엄플러스
116,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030칼슘플러스
117,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,300.0,0.0,0.0,16.5,0.0,0.0,0.0,14.0,"815단단 코랄칼슘 마그네슘, 비타민D, 아연,멀티미네랄"
118,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88 감마리놀렌산&비타민D
119,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95% Super Omega-3 Fish Oil Ultra 95%슈퍼오메가3피쉬오일울트라(전량수출용)
120,700.0,10.0,11.0,0.0,1.0,2.0,6.0,12.0,100.0,15.0,5.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9시 35분 멀티비타민미네랄
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9시 35분 유산균파우더
122,700.0,10.0,11.0,0.0,1.0,2.0,6.0,12.0,100.0,15.0,5.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9시 35분 프로바이타민
123,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,: BE++ER CUX
124,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AC OMEGA-3
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AERINA EXTREME SLIM BODY
126,700.0,10.0,11.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AERINA FAT BURNING
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGE Corrector Biom(전량수출용)
128,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AG락토 생유산균 17
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALBUTAREXGOLD 알부타렉스골드
